Month,Mean_tem,Max_tem,Min_tem,Rain
 January,21,28,14,0.0 mm 
 February,22,30,16,0.0 mm 
 March,26,34,18,0.0 mm 
 April,30,38,23,0.0 mm 
 May,31,39,25,0.1 mm 
 June,30,35,26,9.0 mm 
 July,28,31,26,6.5 mm 
 August,27,30,25,3.8 mm 
 September,27,31,23,3.3 mm 
 October,28,34,23,0.6 mm 
 November,25,32,20,0.2 mm 
 December,21,28,15,0.0 mm 
