Month,Mean_tem,Max_tem,Min_tem,Rain
January,12,18,6,1.6 mm
February,15,22,9,2 mm
March,21,28,13,1.5 mm
April,28,35,19,1 mm
May,31,38,23,1.1 mm
June,32,37,26,3.5 mm
July,29,32,26,7.7 mm
August,28,31,25,7.6 mm
September,27,31,22,3.9 mm
October,24,31,17,0.6 mm
November,19,26,12,0.2 mm
December,14,21,8,0.5 mm
