Month,Mean_tem,Max_tem,Min_tem,Rain
 January,13,19,7,1.4 mm
 February,16,22,10,2.0 mm
 March,21,28,15,1.3 mm
 April,28,36,20,0.9 mm
 May,32,39,24,0.9 mm
 June,32,37,26,3.2 mm
 July,29,33,26,8.6 mm
 August,28,32,25,8.0 mm
 September,27,31,23,4.8 mm
 October,24,31,18,0.6 mm
 November,20,27,14,0.2 mm
 December,15,21,9,0.6 mm
