Month,Mean_tem,Max_tem,Min_tem,Rain
 January,26,27,25,1.2 mm 
 February,27,28,26,0.3 mm 
 March,27,29,25,1.2 mm 
 April,28,30,27,2.1 mm 
 May,28,29,27,10.1 mm 
 June,27,28,26,9.8 mm 
 July,27,28,26,9.6 mm 
 August,27,28,26,10.0 mm 
 September,26,27,26,11.2 mm 
 October,27,28,26,7.7 mm 
 November,27,28,26,5.7 mm 
 December,27,28,26,2.7 mm 
