Month,Mean_tem,Max_tem,Min_tem,Rain
January,23,28,18,0 mm
February,24,30,19,0 mm
March,27,32,22,0 mm
April,29,34,24,0 mm
May,30,33,27,0.4 mm
June,28,31,27,10.9 mm
July,27,28,26,21.7 mm
August,26,28,25,14.6 mm
September,27,29,25,8.7 mm
October,28,32,24,1.2 mm
November,27,32,23,0.2 mm
December,24,30,20,0.1 mm
