Month,Mean_tem,Max_tem,Min_tem,Rain
 January,13,19,7,1.8 mm
 February,16,22,10,2.2 mm
 March,21,18,14,1.7 mm
 April,28,35,19,0.9 mm
 May,31,39,24,0.9 mm
 June,32,37,26,3.0 mm
 July,29,33,26,7.1 mm
 August,28,32,25,6.8 mm
 September,27,32,23,3.6 mm
 October,24,31,28,0.6 mm
 November,19,27,13,0.3 mm
 December,14,21,9,0.7 mm
