Month,Mean_tem,Max_tem,Min_tem,Rain
January,20,27,13,0.6 mm
February,24,30,17,0.4 mm
March,28,35,21,0.5 mm
April,33,39,25,0.6 mm
May,35,41,29,0.9 mm
June,31,36,27,8.4 mm
July,27,30,25,15.7 mm
August,26,29,24,14.9 mm
September,27,30,24,9.5 mm
October,26,30,21,2.7 mm
November,23,29,17,0.5 mm
December,20,26,14,0.5 mm
