Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,11,0.6 mm
February,20,26,14,0.6 mm
March,26,32,18,0.6 mm
April,30,37,23,0.7 mm
May,31,37,25,2.2 mm
June,30,35,26,7.5 mm
July,28,32,26,14.4 mm
August,28,32,26,11.6 mm
September,28,31,25,9.1 mm
October,26,30,22,2.3 mm
November,22,28,16,0.2 mm
December,18,24,12,0.3 mm
