Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,11,0.7 mm
February,20,26,14,0.7 mm
March,26,32,18,0.4 mm
April,31,38,23,0.5 mm
May,32,38,26,1.3 mm
June,31,36,27,6.9 mm
July,29,32,26,12.7 mm
August,29,32,26,11.1 mm
September,28,31,25,7.8 mm
October,26,30,22,2 mm
November,22,28,16,0.2 mm
December,18,24,12,0.3 mm
