Month,Mean_tem,Max_tem,Min_tem,Rain
January,17,24,12,0.5 mm
February,20,26,14,2.2 mm
March,23,29,17,7.3 mm
April,25,30,21,10.4 mm
May,26,30,23,16.8 mm
June,27,30,25,20.3 mm
July,27,30,25,19.8 mm
August,27,30,25,15.7 mm
September,27,30,24,11.9 mm
October,25,29,22,6.7 mm
November,22,27,17,1.4 mm
December,19,25,13,0.6 mm
