Month,Mean_tem,Max_tem,Min_tem,Rain
January,14,21,8,0.6 mm
February,18,25,11,0.8 mm
March,24,31,16,0.5 mm
April,30,38,22,0.3 mm
May,33,40,26,0.5 mm
June,34,39,28,3.1 mm
July,30,34,27,8.9 mm
August,29,32,26,9.1 mm
September,28,32,24,4.3 mm
October,26,32,20,0.9 mm
November,21,28,15,0.2 mm
December,16,23,10,0.3 mm
