Month,Mean_tem,Max_tem,Min_tem,Rain
January,14,20,8,0.6 mm
February,18,24,11,0.9 mm
March,23,31,16,0.6 mm
April,30,37,21,0.4 mm
May,33,40,26,0.6 mm
June,34,39,28,3.2 mm
July,30,34,27,8.9 mm
August,29,32,26,8.7 mm
September,28,32,24,4.4 mm
October,26,32,20,0.6 mm
November,21,28,14,0.2 mm
December,16,23,10,0.3 mm
