Month,Mean_tem,Max_tem,Min_tem,Rain
January,14,20,8,0.7 mm
February,17,24,11,1.3 mm
March,23,30,16,0.7 mm
April,29,37,21,0.4 mm
May,33,40,26,0.7 mm
June,33,38,28,3.4 mm
July,30,33,27,9.6 mm
August,28,32,26,9.1 mm
September,28,32,24,5.1 mm
October,25,32,19,0.6 mm
November,21,28,14,0.2 mm
December,16,22,9,0.3 mm
