Month,Mean_tem,Max_tem,Min_tem,Rain
 January,7,11,3,3.9 mm 
 February,8,13,4,6.2 mm 
 March,11,16,6,8.5 mm 
 April,14,19,9,11.0 mm 
 May,16,20,12,15.7 mm 
 June,18,21,15,23.7 mm 
 July,18,21,16,28.0 mm 
 August,18,21,16,21.9 mm 
 September,17,21,14,15.7 mm 
 October,14,19,11,8.1 mm 
 November,11,15,9,4.6 mm 
 December,8,12,5,3.1 mm 
