Month,Mean_tem,Max_tem,Min_tem,Rain
January,15,22,8,0.2 mm
February,19,26,11,0.3 mm
March,25,32,17,0.1 mm
April,31,38,22,0.2 mm
May,34,40,27,0.4 mm
June,34,39,28,1.3 mm
July,31,35,27,4 mm
August,29,33,25,3.6 mm
September,30,35,25,1.4 mm
October,28,35,21,0.4 mm
November,22,29,15,0.1 mm
December,17,24,9,0 mm
