Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,23,10,0.3 mm 
February,19,26,12,0.3 mm 
March,25,32,18,0.0 mm 
April,31,38,24,0.0 mm 
May,34,41,26,0.2 mm 
June,33,39,27,0.2 mm 
July,32,37,27,1.3 mm 
August,30,34,26,1.5 mm 
September,30,35,25,0.1 mm 
October,30,36,23,2.6 mm 
November,24,30,17,0.9 mm 
December,17,24,11,0.0 mm 
