Month,Mean_tem,Max_tem,Min_tem,Rain
 January,16,23,9,0.8 mm 
 February,19,26,12,0.4 mm 
 March,24,31,16,0.5 mm 
 April,31,38,23,0.1 mm 
 May,34,41,27,0.3 mm 
 June,34,39,29,0.6 mm 
 July,29,33,26,13.7 mm 
 August,27,30,25,6.2 mm 
 September,28,32,24,4.0 mm 
 October,27,34,21,0.1 mm 
 November,22,29,16,0.1 mm 
 December,17,24,10,0.0 mm 
