Month,Mean_tem,Max_tem,Min_tem,Rain
January,14,19,10,1.3 mm
February,16,20,12,3 mm
March,19,23,15,6.5 mm
April,21,24,18,12.9 mm
May,23,26,20,16 mm
June,25,27,23,19.7 mm
July,25,28,23,17.8 mm
August,25,28,23,14.6 mm
September,25,27,22,12 mm
October,22,26,19,4.6 mm
November,19,23,15,0.8 mm
December,16,20,12,0.6 mm
