Month,Mean_tem,Max_tem,Min_tem,Rain
January,4,8,-2,7.4 mm
February,5,9,1,9.1 mm
March,7,11,3,13.7 mm
April,10,14,6,15.6 mm
May,13,17,9,14.8 mm
June,16,19,14,17 mm
July,17,20,15,18.3 mm
August,17,20,15,12 mm
September,16,19,13,10.7 mm
October,12,16,8,6.2 mm
November,8,13,4,4.1 mm
December,5,10,0,5.4 mm
