Month,Mean_tem,Max_tem,Min_tem,Rain
January,8,13,4,5.3 mm
February,10,14,6,9.4 mm
March,12,16,9,15.7 mm
April,15,18,12,22.5 mm
May,17,21,15,28 mm
June,19,22,18,32.2 mm
July,20,23,18,29.2 mm
August,20,23,18,23.5 mm
September,19,22,17,21.9 mm
October,16,20,13,12.7 mm
November,12,17,8,3.9 mm
December,10,14,5,3 mm
