Month,Mean_tem,Max_tem,Min_tem,Rain
January,18,22,13,0.9 mm
February,20,25,15,2 mm
March,23,28,18,5.2 mm
April,24,28,21,13.3 mm
May,26,29,23,20.2 mm
June,28,30,25,27.6 mm
July,28,30,26,29.1 mm
August,28,31,26,25.8 mm
September,27,30,25,19.3 mm
October,25,29,22,7.5 mm
November,22,26,18,0.8 mm
December,19,24,15,0.5 mm
