Month,Mean_tem,Max_tem,Min_tem,Rain
January,16,22,10,0.7 mm
February,20,26,13,0.8 mm
March,25,33,18,0.4 mm
April,31,39,23,0.3 mm
May,34,40,27,0.4 mm
June,33,38,28,5.4 mm
July,29,32,26,13.1 mm
August,28,32,26,10.8 mm
September,28,32,25,7.4 mm
October,26,31,21,1.4 mm
November,22,28,16,0.2 mm
December,17,24,11,0.2 mm
