Month,Mean_tem,Max_tem,Min_tem,Rain
January,13,20,8,1 mm
February,17,23,10,1.7 mm
March,22,29,15,0.9 mm
April,29,36,21,0.8 mm
May,32,39,25,0.9 mm
June,32,37,27,3.7 mm
July,29,33,26,9.5 mm
August,28,32,25,9.1 mm
September,27,32,23,6.1 mm
October,24,31,18,0.6 mm
November,20,27,14,0.2 mm
December,15,22,9,0.4 mm
